2025/07/04 10:26:07 [error] 26124#26124: *395 open() "/var/www/html/webcam.sebastian-selle.de/icon-192.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-192.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:26:52 [error] 26124#26124: *420 open() "/var/www/html/webcam.sebastian-selle.de/icon-192.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-192.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:26:54 [error] 26123#26123: *435 open() "/var/www/html/webcam.sebastian-selle.de/icon-192.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-192.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:27:01 [error] 26124#26124: *449 open() "/var/www/html/webcam.sebastian-selle.de/icon-192.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-192.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:28:29 [error] 26124#26124: *482 open() "/var/www/html/webcam.sebastian-selle.de/icon-192.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-192.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:28:29 [error] 26123#26123: *484 open() "/var/www/html/webcam.sebastian-selle.de/icon-512.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-512.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:28:31 [error] 26124#26124: *498 open() "/var/www/html/webcam.sebastian-selle.de/icon-192.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-192.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:28:31 [error] 26123#26123: *499 open() "/var/www/html/webcam.sebastian-selle.de/icon-512.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-512.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:28:31 [error] 26123#26123: *513 open() "/var/www/html/webcam.sebastian-selle.de/icon-192.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-192.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:28:31 [error] 26124#26124: *528 open() "/var/www/html/webcam.sebastian-selle.de/icon-192.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-192.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:28:32 [error] 26124#26124: *542 open() "/var/www/html/webcam.sebastian-selle.de/icon-192.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-192.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:28:32 [error] 26123#26123: *543 open() "/var/www/html/webcam.sebastian-selle.de/icon-512.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-512.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:28:32 [error] 26123#26123: *556 open() "/var/www/html/webcam.sebastian-selle.de/icon-192.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-192.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:28:33 [error] 26123#26123: *571 open() "/var/www/html/webcam.sebastian-selle.de/icon-192.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-192.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:28:33 [error] 26124#26124: *586 open() "/var/www/html/webcam.sebastian-selle.de/icon-192.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-192.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:28:33 [error] 26123#26123: *601 open() "/var/www/html/webcam.sebastian-selle.de/icon-192.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-192.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:28:34 [error] 26123#26123: *615 open() "/var/www/html/webcam.sebastian-selle.de/icon-192.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-192.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:28:34 [error] 26123#26123: *630 open() "/var/www/html/webcam.sebastian-selle.de/icon-192.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-192.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:28:34 [error] 26124#26124: *648 open() "/var/www/html/webcam.sebastian-selle.de/icon-192.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-192.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:28:34 [error] 26124#26124: *649 open() "/var/www/html/webcam.sebastian-selle.de/icon-512.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-512.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:28:35 [error] 26124#26124: *663 open() "/var/www/html/webcam.sebastian-selle.de/icon-192.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-192.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:28:35 [error] 26123#26123: *664 open() "/var/www/html/webcam.sebastian-selle.de/icon-512.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-512.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:28:35 [error] 26124#26124: *678 open() "/var/www/html/webcam.sebastian-selle.de/icon-192.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-192.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:28:36 [error] 26124#26124: *691 open() "/var/www/html/webcam.sebastian-selle.de/icon-192.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-192.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:28:36 [error] 26123#26123: *705 open() "/var/www/html/webcam.sebastian-selle.de/icon-192.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-192.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:28:36 [error] 26123#26123: *721 open() "/var/www/html/webcam.sebastian-selle.de/icon-192.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-192.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
2025/07/04 10:28:36 [error] 26124#26124: *722 open() "/var/www/html/webcam.sebastian-selle.de/icon-512.png" failed (2: No such file or directory), client: 192.168.100.165, server: webcam.sebastian-selle.de, request: "GET /icon-512.png HTTP/1.1", host: "webcam.sebastian-selle.de", referrer: "https://webcam.sebastian-selle.de/sw.js"
